ARTICLE LINK,PUBLISHED DATE (GMT),Date,PUBLISHER,TITLE,Sentiment,Score
https://news.google.com/__i/rss/rd/articles/CBMibGh0dHBzOi8vdGVjaGNydW5jaC5jb20vMjAyMi8wOC8xNy9kb2RnZS11bnZlaWxzLWNoYXJnZXItZXYtY29uY2VwdC10aGF0LWlzLWZhc3Rlci1hbmQtbG91ZGVyLXRoYW4tYS1oZWxsY2F0L9IBAA?oc=5,8/18/2022 3:12,8/18/2022,Google News,Dodge unveils Charger EV concept that is faster and louder than a Hellcat - TechCrunch,positive,1
https://news.google.com/__i/rss/rd/articles/CBMiXGh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjIvMDgvMTgvd2ludGVyLWdhcy1nZXJtYW55LWFoZWFkLW9mLXNjaGVkdWxlLW9uLW5hdGdhcy1zdXBwbGllcy5odG1s0gEA?oc=5,8/18/2022 5:19,8/18/2022,Google News,Germany has worked hard to shore up winter gas supplies â€” and it's ahead of schedule - CNBC,negative,0
https://news.google.com/__i/rss/rd/articles/CBMijwFodHRwczovL3d3dy5tYXJrZXR3YXRjaC5jb20vc3RvcnkvdGhpcy1ydWxlLXdpdGgtYS1wZXJmZWN0LXJlY29yZC1zYXlzLXRoZS1tYXJrZXQtaGFzbnQtYm90dG9tZWQtc2F5cy1iYW5rLW9mLWFtZXJpY2FzLXN0YXItYW5hbHlzdC0xMTY2MDgwOTg4NdIBAA?oc=5,8/18/2022 8:04,8/18/2022,Google News,"This rule with a perfect record says the market hasn't bottomed, says Bank of America's star analyst - MarketWatch",positive,1
https://news.google.com/__i/rss/rd/articles/CBMifWh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjIvMDgvMTgvYXNpYS1wYWNpZmljLW1hcmtldHMtcG9pc2VkLWZvci1sb3dlci1vcGVuLWFmdGVyLXdhbGwtc3RyZWV0LWNvb2xzLWZvbGxvd2luZy1mZWQtbWludXRlcy5odG1s0gEA?oc=5,8/18/2022 8:48,8/18/2022,Google News,Asia-Pacific markets trade lower after Wall Street cools following Fed minutes - CNBC,positive,1
https://news.google.com/__i/rss/rd/articles/CBMiS2h0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjIvMDgvMTgvdGVjaG5vbG9neS9jcnlwdG8tY3Jhc2gtaW52ZXN0bWVudHMuaHRtbNIBAA?oc=5,8/18/2022 9:00,8/18/2022,Google News,They Lost Crypto in the Crash. Theyâ€™re Trying to Get It Back. - The New York Times,negative,0
https://news.google.com/__i/rss/rd/articles/CBMikgFodHRwczovL3d3dy5tYXJrZXR3YXRjaC5jb20vc3RvcnkvdGhpcy1pbnZlc3Rvci1tYWRlLTExMC1taWxsaW9uLWZyb20tdHJhZGluZy1iZWQtYmF0aC1iZXlvbmQtYW5kLWhlcy1yZXBvcnRlZGx5LWEtMjAteWVhci1vbGQtc3R1ZGVudC0xMTY2MDgxNDI4NNIBAA?oc=5,8/18/2022 9:18,8/18/2022,Google News,This investor made $110 million from trading Bed Bath & Beyond --- and he's a 20-year-old student - MarketWatch,positive,1
https://news.google.com/__i/rss/rd/articles/CBMiZmh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjIvMDgvMTgvNS10aGluZ3MtdG8ta25vdy1iZWZvcmUtdGhlLXN0b2NrLW1hcmtldC1vcGVucy10aHVyc2RheS1hdWd1c3QtMTguaHRtbNIBAA?oc=5,8/18/2022 10:32,8/18/2022,Google News,5 things to know before the stock market opens Thursday - CNBC,positive,1
https://news.google.com/__i/rss/rd/articles/CBMiW2h0dHBzOi8vd3d3Lndhc2hpbmd0b25wb3N0LmNvbS9uYXRpb24vMjAyMi8wOC8xOC9jdnMtb3Bpb2lkLWxhd3N1aXQtd2FsZ3JlZW5zLXdhbG1hcnQtb2hpby_SAQA?oc=5,8/18/2022 11:40,8/18/2022,Google News,"Walgreens, CVS and Walmart ordered to pay $650 million in opioid lawsuit - The Washington Post",neutral,0.5
https://news.google.com/__i/rss/rd/articles/CBMiWmh0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS9tb25leS8yMDIyL2F1Zy8xOC91cy1zdHVkZW50LWJlZC1iYXRoLWJleW9uZC1zaGFyZXMtbWVtZS1zdG9ja9IBAA?oc=5,8/18/2022 13:15,8/18/2022,Google News,US student makes $110m profit trading meme stock Bed Bath & Beyond - The Guardian,positive,1
https://news.google.com/__i/rss/rd/articles/CBMiY2h0dHBzOi8vbnlwb3N0LmNvbS8yMDIyLzA4LzE4LzcwMDAwLWNlby1kYW4tcHJpY2UtcmVzaWducy1hZnRlci1hbGxlZ2VkbHktZ3JhYmJpbmctd29tYW4tYnktdGhyb2F0L9IBZ2h0dHBzOi8vbnlwb3N0LmNvbS8yMDIyLzA4LzE4LzcwMDAwLWNlby1kYW4tcHJpY2UtcmVzaWducy1hZnRlci1hbGxlZ2VkbHktZ3JhYmJpbmctd29tYW4tYnktdGhyb2F0L2FtcC8?oc=5,8/18/2022 13:40,8/18/2022,Google News,"$70,000 CEO' Dan Price resigns after allegedly grabbing woman by throat - New York Post",positive,1
